evescape_quantile,date,counts
bottom,2020-04,3
bottom,2020-05,4
bottom,2020-06,7
bottom,2020-07,12
bottom,2020-08,17
bottom,2020-09,18
bottom,2020-10,22
bottom,2020-11,29
bottom,2020-12,32
bottom,2021-01,47
bottom,2021-02,59
bottom,2021-03,81
bottom,2021-04,106
bottom,2021-05,124
bottom,2021-06,138
bottom,2021-07,160
bottom,2021-08,179
bottom,2021-09,206
bottom,2021-10,234
bottom,2021-11,254
bottom,2021-12,274
bottom,2022-01,307
bottom,2022-02,331
bottom,2022-03,343
bottom,2022-04,349
bottom,2022-05,350
bottom,2022-06,350
top 75%,2020-03,6
top 75%,2020-04,10
top 75%,2020-05,17
top 75%,2020-06,23
top 75%,2020-07,28
top 75%,2020-08,33
top 75%,2020-09,46
top 75%,2020-10,53
top 75%,2020-11,67
top 75%,2020-12,84
top 75%,2021-01,98
top 75%,2021-02,126
top 75%,2021-03,175
top 75%,2021-04,217
top 75%,2021-05,240
top 75%,2021-06,260
top 75%,2021-07,297
top 75%,2021-08,349
top 75%,2021-09,386
top 75%,2021-10,425
top 75%,2021-11,459
top 75%,2021-12,490
top 75%,2022-01,540
top 75%,2022-02,567
top 75%,2022-03,577
top 75%,2022-04,588
top 75%,2022-05,588
top 75%,2022-06,588
top 50%,2020-01,1
top 50%,2020-02,1
top 50%,2020-03,2
top 50%,2020-04,10
top 50%,2020-05,16
top 50%,2020-06,27
top 50%,2020-07,43
top 50%,2020-08,51
top 50%,2020-09,63
top 50%,2020-10,79
top 50%,2020-11,102
top 50%,2020-12,128
top 50%,2021-01,161
top 50%,2021-02,200
top 50%,2021-03,248
top 50%,2021-04,316
top 50%,2021-05,346
top 50%,2021-06,364
top 50%,2021-07,403
top 50%,2021-08,454
top 50%,2021-09,506
top 50%,2021-10,565
top 50%,2021-11,606
top 50%,2021-12,654
top 50%,2022-01,713
top 50%,2022-02,741
top 50%,2022-03,763
top 50%,2022-04,772
top 50%,2022-05,775
top 50%,2022-06,775
top 25%,2020-03,1
top 25%,2020-04,11
top 25%,2020-05,22
top 25%,2020-06,37
top 25%,2020-07,51
top 25%,2020-08,65
top 25%,2020-09,88
top 25%,2020-10,111
top 25%,2020-11,149
top 25%,2020-12,194
top 25%,2021-01,256
top 25%,2021-02,311
top 25%,2021-03,387
top 25%,2021-04,470
top 25%,2021-05,517
top 25%,2021-06,553
top 25%,2021-07,611
top 25%,2021-08,677
top 25%,2021-09,749
top 25%,2021-10,814
top 25%,2021-11,884
top 25%,2021-12,941
top 25%,2022-01,995
top 25%,2022-02,1027
top 25%,2022-03,1048
top 25%,2022-04,1060
top 25%,2022-05,1063
top 25%,2022-06,1063
